line,chart,root,season,queries
484,癸卯丙辰甲辰丙寅,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
491,辛未辛卯乙未丁亥,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
494,辛未辛卯乙未戊寅,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
497,庚寅己卯乙亥癸未,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
507,庚辰癸未乙未癸未,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
510,己丑壬申丁未丙午,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE|RI-BEI-HE
513,癸未乙卯丙午辛卯,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE|RI-BEI-HE
516,辛卯丙申癸卯壬戌,LIGHT,SUPPORTS,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
519,辛卯丙申癸卯甲寅,LIGHT,SUPPORTS,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE
528,己巳庚午丙午甲午,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
531,丁丑癸卯乙卯己卯,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
534,丁未癸丑甲辰甲戌,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
537,丁亥癸丑甲子辛未,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
554,丙寅甲午丙午癸巳,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
557,戊寅庚申丙申丙申,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|ZHONGGUA-2SIDE
568,癸酉甲子丙寅戊戌,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
571,癸未乙卯丙辰庚寅,HEAVY,SUPPORTS,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
574,戊戌乙丑丙辰己丑,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|ROOT-GAN-PRIORITY|ZHONGGUA-2SIDE
585,甲戌丙寅戊寅丙辰,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
588,甲戌丙寅戊辰庚申,HEAVY,OUT_OF_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|WANGCHONG-SHUAI|SHI-GUI-LU|ZHONGGUA-2SIDE
605,甲辰丁卯甲子戊辰,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
608,癸卯乙卯甲寅乙亥,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
611,乙丑甲申甲申辛未,LIGHT,OUT_OF_SEASON,REN-CAIGUAN|LIGHT-ROOT|JUECHU-FENGSHENG|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
614,己巳己巳乙酉丙戌,NONE,OUT_OF_SEASON,ZHONGGUA-2SIDE|JIRUO-WUGEN
617,乙丑壬午丙戌甲午,HEAVY,IN_SEASON,REN-CAIGUAN|HEAVY-ROOT|ROOT-GAN-PRIORITY|SHI-GUI-LU|ZHONGGUA-2SIDE
